sno,sna,sarea,ar,latitude,longitude,Quantity,available_rent_bikes,available_return_bikes,act,mday
500101237,YouBike2.0_仁愛復興路口,大安區,仁愛路四段1號前,25.03817,121.544,29,4,25,1,2026-09-25 21:42:02
500101238,YouBike2.0_仁愛敦南圓環(東側),大安區,仁愛路四段121號,25.03804,121.55042,26,15,11,1,2026-09-25 21:42:02
500101239,YouBike2.0_古風公園,大安區,龍泉街93巷7號對側,25.02187,121.52912,15,8,5,1,2026-09-25 21:42:02
500101240,YouBike2.0_和平東路二段76巷,大安區,和平東路二段96巷20弄2號旁,25.02263,121.53906,40,17,23,1,2026-09-25 21:42:02
500101241,YouBike2.0_敦化信義路口(東南側),大安區,敦化南路二段9號,25.03276,121.54907,20,5,15,1,2026-09-25 21:42:02
500101242,YouBike2.0_和平東路三段308巷口,大安區,樂業街173號對側,25.01883,121.5544,14,9,4,1,2026-09-25 21:42:02
500101243,YouBike2.0_忠孝建國路口(東南側),大安區,忠孝東路三段132號前,25.04159,121.5378,21,0,21,1,2026-09-25 21:42:02
500101244,YouBike2.0_浦城街26巷,大安區,浦城街26巷8號對面,25.02324,121.52618,17,17,0,1,2026-09-25 21:42:02
500101245,YouBike2.0_青峰活動中心,大安區,辛亥路三段(青峰活動中心),25.01524,121.55121,25,4,20,1,2026-09-25 21:42:02
500101246,YouBike2.0_忠孝東路三段216巷口,大安區,忠孝東路三段218號前,25.04157,121.5402,28,11,16,1,2026-09-25 21:42:02
500101247,YouBike2.0_捷運忠孝復興站(4號出口),大安區,忠孝東路四段7號前,25.04173,121.54412,25,1,23,1,2026-09-25 21:42:16
500101248,YouBike2.0_和平溫州街口,大安區,和平東路一段187號(前),25.02634,121.53342,23,12,11,1,2026-09-25 21:42:02
500101250,YouBike2.0_國立臺北教育大學創意館,大安區,復興南路二段337巷6弄14號對側,25.02305,121.54394,32,3,29,1,2026-09-25 21:42:02
500101251,YouBike2.0_捷運忠孝復興站(1號出口),大安區,忠孝東路三段303號,25.04199,121.54362,27,0,26,1,2026-09-25 21:42:02
500101252,YouBike2.0_政大公企中心,大安區,金華街187號(後方人行道),25.03076,121.52781,13,2,11,1,2026-09-25 21:42:02
500101253,YouBike2.0_大安路二段90巷口,大安區,大安路二段55號(對面),25.03117,121.54602,19,5,14,1,2026-09-25 21:42:02
